id|overview|poster_path|title|popularity|release_date|backdrop_path|rating
278|Adaptacja powieści Stephena Kinga. Nominowany  Andy Dufresne w 1995 roku do Oscara w 7 kategoriach! Andy Dufresne (Tim Robbins) jest młodym, obiecującym bankierem. Jego życie zmienia się drastycznie, kiedy zostaje niesłusznie oskarżony o zamordowanie swojej żony i jej kochanka. Skazany na dożywocie, trafia do więzienia Shawshank, gdzie rządy sprawują sadystyczni strażnicy oraz dyrektor hipokryta i oszust. Andy żeby przeżyć lata, jakie przyjdzie mu spędzić w celi, Andy będzie musiał wykazać się sprytem i wolą przetrwania. Przygotowuje również misterny plan zemsty - tak zaskakujący, że zmyli nawet najbliższych współwięźniów.  [opis dystrybutora dvd]|/sBnhJ4f5KAzg6C3FwnEb8QFj8SB.jpg|Skazani na Shawshank|64.333|1994-09-23|/iNh3BivHyg5sQRPP1KOkzguEX0H.jpg|8.638855907670466
238|Akcja filmu toczy się pod koniec II wojny światowej w Ameryce. Don Vito Corleone (Marlon Brando) jest głową jednej z pięciu mafijnych rodzin w Nowym Jorku. Wraz z pomocą synów Sonny'ego i Freda oraz Toma Hagena -który oferuje swoje usługi w zakresie prawnym - cieszą się uznaniem wśród wielu znanych i ważnych osobistości. Wszystko zaczyna się komplikować, gdy Don Vito odmawia współpracy w handlu narkotykami.|/yS3EVRQdmTH2bPQxhE13sUluvxq.jpg|Ojciec Chrzestny|64.626|1972-03-14|/rSPw7tgCH9c6NqICZef4kZjFOQ5.jpg|8.619127823430231
372058|Historia nastolatków Mitsuhy i Takiego. Dziewczyna mieszka na wsi z babcią i młodszą siostrą. Natomiast Taki to przeciętny obywatel stolicy, rezyduje w Tokio, gdzie uczy się i pracuje po lekcjach. Pewnej nocy, Mitsuha i Taki zamieniają się ciałami na jeden dzień. Ten incydent zaczyna się powtarzać coraz częściej. W międzyczasie do Ziemi zbliża się kometa, która prawdopodobnie stanowi źródło opisanego fenomenu.|/oDBznXaM2v68T81DRIO0dvR4WF2.jpg|Twoje Imię|149.463|2016-08-26|/mMtUybQ6hL24FXo0F3Z4j2KG7kZ.jpg|8.46167342312646
155|"Kontynuacja filmu ""Batman: Początek"", ""Mroczny Rycerz"", to kolejne wspólne dzieło reżysera Christophera Nolana i gwiazdora Christiana Bale'a, który ponownie wciela się w postać Batmana / Bruce'a Wayne'a toczącego zażartą wojnę ze światem przestępczym. Batmanowi udaje się na dobre rozbić kryminalne podziemie Gotham z pomocą porucznika Jima Gordona (Gary Oldman) i Prokuratora Okręgowego Harveya Denta (Aaron Eckhart). Ich współpraca okazuje się niezwykle skuteczna, ale szybko trzej mężczyźni stają się celem nowego geniusza zbrodni, Jokera (Heath Ledger), którego celem jest wprowadzenie w Gotham anarchii i zmuszenie Batmana, by ten przeszedł na stronę zła, przestał być bohaterem, a stał się złoczyńcą.  [opis dystrybutora dvd]"|/gKMDmGde8aAD8M6dvm6j7wciSbJ.jpg|Mroczny Rycerz|64.908|2008-07-14|/hkBaDkMWbLaf8B1lsWsKX7Ew3Xq.jpg|8.457472388295859
680|Płatni mordercy, Jules (Samuel L. Jackson) i Vincent (John Travolta), dostają zlecenie, by odzyskać z rąk przypadkowych rabusiów tajemniczą walizkę bossa mafii. Nie dość tego, Vincent dostaje kolejną robotę - na czas nieobecności gangstera w mieście ma zaopiekować się jego poszukującą wrażeń żoną Mią (Uma Thurman). Vincent i Jules niespodziewanie wpadają po uszy, gdy przypadkowo zabijają zakładnika. Kłopoty ma też podupadły bokser (Bruce Willis), który otrzymał dużą sumę za przegranie swojej walki. Walkę jednak wygrywa, a Los Angeles staje się od tej chwili dla niego za małe. Specjaliści od mokrej roboty będą mieli co robić...  [opis dystrybutora dvd]|/5Whi9po8MTPyUTxAioXfyXGHNQE.jpg|Pulp Fiction|54.528999999999996|1994-09-10|/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg|8.449800751642233
13|"Nie było jeszcze filmu, który tak, jak ""Forrest Gump"" Roberta Zemeckisa z porywającą kreacją Toma Hanksa odniósłby równy sukces kasowy i artystyczny. W ciągu trzech burzliwych dekad, Forrest zmienia się z lekceważonego inwalidy w gwiazdę amerykańskiego futbolu; z bohatera wojny w Wietnamie staje się królem krewetek; od honorów Białego Domu przechodzi w ramiona ukochanej. Jest odzwierciedleniem naszej epoki, ostatnim niewinnym w czasach, kiedy Ameryka utraciła swą niewinność. Serce podpowiada mu w sprawach, których nie ogarnia jego umysł. Jest człowiekiem zasad, a jego sukcesy inspirują wszystkich.n""Forrest Gump"". Oto historia pewnego życia.  [opis dystrybutora dvd]"|/iixrNXX79OR7knBx1i9S51PfVlz.jpg|Forrest Gump|48.986999999999995|1994-07-06|/qdIMHd4sEfJSckfVJfKQvisL02a.jpg|8.448696102119484
122|Ostateczna bitwa o Śródziemie rozpoczęła się. Frodo (Elijah Wood) i Sam (Sean Astin), prowadzeni przez Golluma (Andy Serkis), kontynuują swą niebezpieczną wyprawę w kierunku Góry Przeznaczenia, w celu zniszczenia Pierścienia Władzy. Aragorn (Viggo Mortensen)walczy, aby wypełnić przepowiednię i poprowadzić swoich zwolenników przeciw rosnącej sile Władcy Ciemności Saurona, aby Powiernik Pierścienia mógł zakończyć swoją misję.  [opis dystrybutora dvd]|/75KNIheWdy7eLe4RWsbJmVjvJPU.jpg|Władca Pierścieni: Powrót króla|95.749|2003-12-01|/lXhgCODAbBXL5buk9yEmTpOoOgR.jpg|8.440647286732448
497|"Paul Edgecomb (Dabbs Greer) jest pensjonariuszem domu starców. Kiedy pewnego razu ogląda w telewizji przedwojenny film, wzrusza się i przypomina sobie dawne czasy. Ze wspomnień zwierza się koleżance, opowiadając historię ze swojej młodości, kiedy jako strażnik (Tom Hanks) bloku śmierci w 1935 roku odprowadzał więźniów na krzesło elektryczne. Ostatnia droga skazańców wiodła przez korytarz wyłożony zielonym linoleum nazywany ""zieloną milą"". Pewnego razu na blok trafił ogromny czarnoskóry więzień - John Coffey (Michael Clarke Duncan), skazany za zabójstwo dwóch dziewczynek. Szybko okazało się jednak, że ma on zdolność uzdrawiania, a Edgecomb postawiony został przed decyzją, która zaważy na całym jego życiu.[filmweb.pl]"|/brSYDZZ2epodl8lxdzaQqYapNlM.jpg|Zielona mila|42.31|1999-12-10|/l6hQWH9eDksNJNiXWYRkWqikOdu.jpg|8.41682658390015
496243|"Żywot rodziny pana Ki-taeka nie należy do najbardziej udanych. Rodzice z dwójką dorosłych dzieci żyją w nędzy, wszyscy są bezrobotni, a przyszłość rysuje się tylko w szarych barwach. Jednak pomimo niedoli, potrafią być ze sobą blisko, kochać się i trwać w zgodzie - nikt tu nie krzyczy w desperacji ""Jak żyć?!"". Pewnego dnia otrzymują prezent od losu, który przepełnia ich nadzieją oraz wizją stałego dochodu. Syn Ki-woo zostaje polecony przez kolegę, studenta prestiżowego uniwersytetu, na dobrze płatną posadę korepetytora. Chłopak udaje się na rozmowę kwalifikacyjną do domu rodziny Parków, żyjących w zupełnie innym świecie. Pan Park jest właścicielem międzynarodowej firmy z branży IT, ma też piękną żonę Yeon-kyo. Spotkanie dwóch jakże odmiennych rodzin prowadzi do ciągu tragikomicznych wydarzeń."|/jjHccoFjbqlfr4VGLVLT7yek0Xn.jpg|Parasite|84.975|2019-05-30|/TU9NIjwzjoKPwQHoHshkFcQUCG.jpg|8.413528552059928
129|Chihiro jest kapryśną, upartą dziesięcioletnią dziewczynką, która uważa, że cały świat powinien spełniać jej zachcianki. Gdy rodzice oznajmiają jej, że trzeba będzie wyprowadzić się z domu, Chihiro jest z tego powodu zła i nie myśli tego ukrywać. Zabrnąwszy w tajemniczą ślepą uliczkę, rodzina staje nagle przed ogromnym czerwonym domem, do którego wnętrza prowadzi niekończący się tunel, rozwarty jak ogromne usta. Wkrótce okazuje się, że Chihiro i jej rodzice wtargnęli do świata zamieszkanego przez starożytnych bogów i magiczne stworzenia, świata, którym rządzi demoniczna czarownica, okrutna Yubaba.|/gxJBfZT6aJ6a323kfd9fduQ5hme.jpg|Spirited Away: W krainie Bogów|71.625|2001-07-20|/Ab8mkHmkYADjU7wQiOkia9BzGvS.jpg|8.410204875058257
